125.75,2587.84,0.02343,1.1662
121.5,2591.13,0.0232,1.1615
119.25,2590.64,0.02307,1.1613
122,2594.38,0.02325,1.1601
119,2584.62,0.02331,1.1597
121.25,2582.3,0.024,1.1647
119,2584.84,0.024,1.1661
133.25,2578.87,0.02381,1.1665
127.25,2564.62,0.02335,1.1793
129,2585.64,0.02361,1.1793
134.75,2578.85,0.02354,1.1777
132.75,2582.14,0.02372,1.1732
142,2599.03,0.02363,1.1741
150,2597.08,0.02322,1.1737
148.25,2597.08,0.02322,1.1815
150,2602.42,0.02322,1.1854
146.5,2601.42,0.02328,1.1926
152,2627.04,0.02338,1.1905
146.5,2626.07,0.02376,1.1848
148.5,2647.58,0.02417,1.1852
146,2642.22,0.02362,1.1898
149.75,2639.44,0.02379,1.186
143,2629.57,0.02356,1.1868
137,2629.27,0.0233,1.1833
182.5,2636.98,0.02376,1.1804
176.5,2651.5,0.02383,1.1772
189.5,2659.99,0.02385,1.177
186.5,2664.11,0.02403,1.1778
185,2662.85,0.02349,1.1743
186,2652.01,0.02346,1.1836
184.5,2675.81,0.02355,1.1775
196,2690.16,0.02392,1.1744
195.5,2681.47,0.02463,1.1784
199,2679.25,0.02497,1.1841
195,2684.57,0.02481,1.1878
192,2683.34,0.02485,1.1857
190,2682.62,0.02414,1.1858
182.5,2687.54,0.02432,1.1901
191,2673.61,0.02405,1.1942
188.6,2695.81,0.02465,1.2012
186.6,2713.06,0.02447,1.2063
190,2723.99,0.02453,1.201
189.8,2743.15,0.02476,1.2069
184.6,2747.71,0.0248,1.2037
178.8,2751.29,0.02546,1.197
187,2748.23,0.0255,1.1929
180.2,2767.56,0.02531,1.1956
181,2786.24,0.02552,1.2042
179.4,2786.24,0.02552,1.2192
179.6,2776.42,0.02544,1.2268
178.8,2802.56,0.02578,1.2271
180.8,2798.03,0.02611,1.2184
182.8,2810.3,0.02637,1.2237
182,2832.97,0.02665,1.2256
179.2,2839.13,0.02624,1.2256
177.4,2837.54,0.02654,1.231
176.6,2839.25,0.02621,1.2391
175.8,2872.87,0.02662,1.2392
174,2853.53,0.02699,1.2428
171.8,2822.43,0.02726,1.2381
173.4,2823.81,0.0272,1.241
